iter	Passed	Remaining
0	0	46
1	0	35
2	1	39
3	1	39
4	1	34
5	2	36
6	2	36
7	3	36
8	3	34
9	3	35
10	4	34
11	4	35
12	5	34
13	5	34
14	6	34
15	6	34
16	6	34
17	7	33
18	7	32
19	8	32
20	8	31
21	8	31
22	9	30
23	9	30
24	10	30
25	10	30
26	11	29
27	11	29
28	11	29
29	12	28
30	12	28
31	13	27
32	13	27
33	14	27
34	14	26
35	14	26
36	15	25
37	15	25
38	16	25
39	16	24
40	16	24
41	17	23
42	17	23
43	18	23
44	18	22
45	19	22
46	19	22
47	20	21
48	20	21
49	20	20
50	21	20
51	21	20
52	22	19
53	22	19
54	23	18
55	23	18
56	24	18
57	24	17
58	24	17
59	25	16
60	25	16
61	26	16
62	26	15
63	27	15
64	27	14
65	27	14
66	28	13
67	28	13
68	28	13
69	29	12
70	29	12
71	29	11
72	30	11
73	30	10
74	31	10
75	31	10
76	32	9
77	32	9
78	32	8
79	33	8
80	33	7
81	34	7
82	34	7
83	35	6
84	35	6
85	35	5
86	36	5
87	36	5
88	37	4
89	37	4
90	37	3
91	38	3
92	38	2
93	39	2
94	39	2
95	40	1
96	40	1
97	40	0
98	41	0
99	41	0
